,label,rm,SMB,HML,RMW,CMA,rf,rm-rf
0,2021_20197,-0.003416,-0.03216784896681237,-0.0184222023731869,0.02788802501740935,0.029903224652609854,0.1241,-0.127516
1,2021_20198,-0.011691,-0.017708288585044866,-0.0702090263388383,0.0213541940628478,0.02717407854812165,0.1241,-0.135791
2,2021_20199,0.005384,0.006579001414733635,-0.0067242118795048,0.0007470366850204982,0.005145938825261701,0.1241,-0.118716
3,2021_201910,0.011989,-0.011529320823984064,-0.0135252605928557,0.04141848133734215,0.0223208526366702,0.1241,-0.112111
4,2021_201911,-0.015682,-0.018889806980386233,-0.003546364316602203,-0.0009946337304705,0.002252165526753747,0.1241,-0.13978200000000002
5,2021_201912,0.066512,-0.0022348463292679974,-0.01999523205736175,-0.00853603378508614,0.006320568759270499,0.1241,-0.057588
6,2021_20201,-0.018873,0.0014295948331526996,-0.046312730521041304,0.0010324112167876993,0.0262496390068402,0.1241,-0.14297300000000002
7,2021_20202,-0.016963,-0.0014868026642004112,-0.062013507776259046,0.01424514983264955,0.029143972804757,0.1241,-0.141063
8,2021_20203,-0.051913,0.03957192574312166,-0.005803054042612003,0.040296702129564495,0.0357595791822908,0.1241,-0.176013
9,2021_20204,0.044054,-0.042474299617681156,-0.054206149049361205,0.050352105707263145,0.05680538328156255,0.1241,-0.080046
10,2021_20205,0.001717,0.01747414515530341,-0.0601924536211818,0.006868137640128251,0.0211101337347789,0.1241,-0.122383
11,2021_20206,0.06667,-0.030970967216120065,-0.0743126698907067,0.02546055279644975,0.0414244253616226,0.1241,-0.05743000000000001
12,2021_20207,0.129829,-0.015120386215560904,-0.0474259626191922,0.03704039217603955,0.04001139881213549,0.1241,0.005728999999999998
13,2021_20208,0.029163,-0.013097444160887869,-0.017809466777432455,0.026453026210101253,0.021339713366772442,0.1241,-0.094937
14,2021_20209,-0.057034,-0.03489789271728794,0.010827120656338503,0.0070555123770372555,0.005071290295234107,0.1241,-0.18113400000000002
15,2021_202010,0.008097,-0.02843816169051357,-0.02004845136595705,0.03884895607218255,0.02097899698709325,0.1241,-0.116003
16,2021_202011,0.050101,-0.03269154438473584,0.02424398601462196,-0.035745665101459004,-0.024855511670922405,0.1241,-0.07399900000000001
17,2021_202012,0.024496,-0.08203521864883478,-0.10221698200246425,0.033802867475104095,0.042714410731009955,0.1241,-0.099604
18,2021_20211,-0.000874,-0.09437812886245438,-0.05416775886795605,0.05534546107685359,0.04424873754827115,0.1241,-0.124974
19,2021_20212,0.008711,0.026521251954582742,0.041400660039175544,-0.0049790747842526,-0.023267747856299502,0.1241,-0.115389
20,2021_20213,-0.02169,0.053751955123688605,0.0609369379001211,-0.020875265015843254,-0.042351644480125905,0.1241,-0.14579
21,2021_20214,0.008129,-0.03511471877525389,-0.0475797741731954,-0.02522832695181755,-0.003997656806558451,0.1241,-0.115971
22,2021_20215,0.045805,0.0026476419960989265,-0.015069005191130552,-0.042038811922466605,-0.037243907573219895,0.1241,-0.078295
23,2021_20216,-0.003404,-0.003481814233741778,-0.0230963683952444,-0.02308216242419165,-0.01982826412420565,0.1241,-0.127504
24,2021_20217,-0.04978,-0.026423935809802703,-0.01308721874619145,-0.09467370003097686,-0.020558195065509655,0.1241,-0.17388
