,label,rm,SMB,HML,RMW,CMA,rf,rm-rf
0,2014_20127,-0.05434,-0.04140565249540438,0.0018086792395386533,0.0405255590257618,0.014985097931166702,0.2669,-0.32124
1,2014_20128,-0.024889,0.05066057465136117,-0.027211418264078448,0.00715773330608575,0.0102641696009565,0.2466,-0.27148900000000004
2,2014_20129,0.025116,-0.023498625022271347,-0.011015604930134797,-0.006427336967999502,0.009359335092637101,0.2466,-0.22148400000000001
3,2014_201210,-0.009486,0.02803817110307137,0.010111856975772401,0.01359988378133,0.0233091769152901,0.2466,-0.25608600000000004
4,2014_201211,-0.058453,-0.04781176608339771,0.0593289266536699,0.04168186163582455,0.020585198211547556,0.2466,-0.305053
5,2014_201212,0.150147,0.013216161920783185,0.02024988285206647,0.013851347673570852,0.0327185789626222,0.2466,-0.09645300000000001
6,2014_20131,0.050681,0.000945025144631653,-0.027662613502852457,-0.0022825034297233524,0.009255780042972964,0.2466,-0.195919
7,2014_20132,-0.001401,0.04384947995085741,-0.0950686567995493,0.02074981666520175,-0.0024439320908338,0.2466,-0.24800100000000003
8,2014_20133,-0.051748,0.01017447727806107,-0.0598779357052373,0.0026269357448469484,0.013170795832805698,0.2466,-0.298348
9,2014_20134,-0.02487,-0.005782637214466226,-0.021467571114867644,0.04524787424265685,0.0237875152030993,0.2466,-0.27147
10,2014_20135,0.073324,0.03960359284766925,-0.07112691113474866,-0.01943894567113285,0.03267208820601946,0.2466,-0.173276
11,2014_20136,-0.135952,-0.027341783325335097,-0.0275436953068467,0.05687762784183989,0.02474862243703628,0.2466,-0.382552
12,2014_20137,0.024461,0.02553385965861719,-0.0776356056925632,-0.01444756043548125,0.019417850469096103,0.2466,-0.222139
13,2014_20138,0.053109,0.032379691460790644,-0.017874568890975752,-0.02195060302148205,-0.03899976019653565,0.2466,-0.19349100000000002
14,2014_20139,0.038658,-0.028980520250528788,-0.047521051508899945,-0.029156531819484098,-0.038795082037216294,0.2466,-0.20794200000000002
15,2014_201310,-0.017304,0.0046090544222043795,0.021910065285080653,0.01932177218387965,0.0084687764949806,0.2466,-0.263904
16,2014_201311,0.04035,0.012003894112093327,-0.0389876940861438,-0.040717768714011754,0.0027523206709372007,0.2466,-0.20625000000000002
17,2014_201312,-0.041356,0.004343580953250421,-0.022704673726185797,0.025661098640027302,0.02567290108731775,0.2466,-0.287956
18,2014_20141,-0.030869,0.032816509715566856,-0.0969697605030038,-0.02021225769785369,0.0122733140317416,0.2466,-0.277469
19,2014_20142,0.013349,0.02661304834506358,-0.010999916073144501,-0.029750383572252802,-0.016308342156969552,0.2466,-0.23325100000000001
20,2014_20143,-0.016546,0.010843851898270522,0.05001026494186915,0.01577665491113765,-0.006211233979683198,0.2466,-0.263146
21,2014_20144,-0.005269,-0.013001232125514657,0.0004034166408284005,0.0030943748087435994,0.0010774633455277508,0.2466,-0.251869
22,2014_20145,0.012399,0.0031232772572056,-0.0066373479757288485,-0.029103641872884098,0.003994494438194349,0.2466,-0.23420100000000002
23,2014_20146,0.022671,0.021127963650052754,-0.021118405345400548,-0.02206621567649515,-0.011339481920635101,0.2466,-0.22392900000000002
24,2014_20147,0.089937,-0.009082984767728085,0.034997759474247804,-0.01827119751427534,-0.005554541519869789,0.2466,-0.156663
